model,accuracy,hamming_loss,avg_precision,avg_recall,avg_f1,toxic_count,severe_toxic_count,obscene_count,threat_count,insult_count,identity_hate_count
NaiveBayes,0.9010597392853793,0.026259026540373254,0.7126229771394373,0.500275900124155,0.580265823709,4968.0,265.0,2542.0,0.0,2178.0,135.0
LogisticRegression,0.8932601831879708,0.028429043316973542,0.6186035271424035,0.6405021382259622,0.6231414909521054,6959.0,286.0,3779.0,133.0,3561.0,269.0
RandomForest,0.9047641376723249,0.02788979545051945,0.7237672006665237,0.3968133535660091,0.5081707830116017,3579.0,91.0,2139.0,54.0,1765.0,86.0
